"uniprot_id","protein","gene","description","n_seq","sum_spectra","is_keratin","CR006_T1","CR008_T1","CR009_T1","CR009_T2","CR010_T1","CR010_T2","CR015_T1","CR015_T2","CR017_T1","CR017_T2","CR018_T1","CR018_T2","CR022_T1","CR022_T2","CR072_T1","CR072_T2","CR149_T1","CR149_T2","CR163_T1","CR163_T2","CR383_T1","CR386_T2","logFC_Baseline_FvM","CI.L_Baseline_FvM","CI.R_Baseline_FvM","average_intensity_Baseline_FvM","t_Baseline_FvM","B_Baseline_FvM","P.Value_Baseline_FvM","adj.P.Val_Baseline_FvM","sig.PVal_Baseline_FvM","sig.FDR_Baseline_FvM","logFC_Training_FvM","CI.L_Training_FvM","CI.R_Training_FvM","average_intensity_Training_FvM","t_Training_FvM","B_Training_FvM","P.Value_Training_FvM","adj.P.Val_Training_FvM","sig.PVal_Training_FvM","sig.FDR_Training_FvM","logFC_Training_F","CI.L_Training_F","CI.R_Training_F","average_intensity_Training_F","t_Training_F","B_Training_F","P.Value_Training_F","adj.P.Val_Training_F","sig.PVal_Training_F","sig.FDR_Training_F","logFC_Training_M","CI.L_Training_M","CI.R_Training_M","average_intensity_Training_M","t_Training_M","B_Training_M","P.Value_Training_M","adj.P.Val_Training_M","sig.PVal_Training_M","sig.FDR_Training_M","logFC_Interaction_sex","CI.L_Interaction_sex","CI.R_Interaction_sex","average_intensity_Interaction_sex","t_Interaction_sex","B_Interaction_sex","P.Value_Interaction_sex","adj.P.Val_Interaction_sex","sig.PVal_Interaction_sex","sig.FDR_Interaction_sex"
"A0A087WW87","KV240_HUMAN","IGKV2-40","Immunoglobulin kappa variable 2-40",2,2,FALSE,21.2697451303868,26.4301123992851,NA,25.8456134519824,23.4687284634306,22.2947653094609,NA,26.6484950218965,24.0830776436917,23.5466556087458,22.8758484133403,NA,23.8365317904125,20.369320714451,21.9081639967879,24.3376057524613,NA,23.0887570971478,24.7970495117428,26.544754670476,24.4646126724801,22.7143615004599,-0.0335225322282966,-2.75316206581237,2.68611700135578,23.8068999527022,-0.026115964799233,-5.71382401816766,0.979485661359381,0.999244680440512,0,0,1.06524150689119,-2.06324623445413,4.19372924823652,23.8068999527022,0.721430046169523,-4.61272925227939,0.480986522352133,0.995053692965587,0,0,0.558391064115174,-1.68800183615953,2.80478396438988,23.8068999527022,0.526663650433898,-5.05589082529826,0.605604594798532,0.940992591720305,0,0,-0.540372975004317,-3.34256775333431,2.26182180332568,23.8068999527022,-0.408578871708587,-4.63260492427231,0.688229114224206,0.99447448084996,0,0,1.09876403911949,-2.49269480626694,4.69022288450593,23.8068999527022,0.648207641024699,-4.6112122374168,0.525983898085905,0.988055167375868,0,0
"A0A0B4J1U7","HV601_HUMAN","IGHV6-1","Immunoglobulin heavy variable 6-1",1,1,FALSE,20.6688238281049,22.1975339561607,NA,21.9917211702108,21.5572902390515,NA,NA,23.6172924012209,19.6240020526198,18.2421783533213,NA,NA,22.6368806199968,20.4043666725143,NA,19.6863620102837,18.1176694518945,20.2888389070852,21.8340702147198,23.2188638628154,20.4917311234563,19.9544120962562,-2.11959416606128,-4.46776997962011,0.228581647497553,20.908252309982,-1.93461867199046,-4.17381288466924,0.0733483799112783,0.469548324164999,0,0,-0.960730590747541,-3.8434425056065,1.92198132411142,20.908252309982,-0.714288480532426,-4.61244278470578,0.486700168183267,0.995053692965587,0,0,1.03820685059538,-0.754720144465793,2.83113384565656,20.908252309982,1.2410650745114,-4.68274047306556,0.234822995173057,0.76830475338988,0,0,-0.120656724718355,-2.75083430259003,2.50952085315332,20.908252309982,-0.0983195157644657,-4.63685211295076,0.923061893200151,0.99447448084996,0,0,1.15886357531374,-2.02428287132645,4.34201002195392,20.908252309982,0.780277282929153,-4.60655436192365,0.448122212735601,0.988055167375868,0,0
"A0A0B4J1X5","HV374_HUMAN","IGHV3-74","Immunoglobulin heavy variable 3-74",2,2,FALSE,22.5479360979116,27.0465962301699,22.1113419765299,26.315055041602,24.3982006424556,22.8407034832912,22.5714612364345,26.93997800607,24.3070508517406,24.0897133841689,22.706268377216,21.1853965782365,24.1787971194741,22.2929177956921,NA,25.5063580207429,22.1024470119217,23.7449439293496,25.0282460031414,26.5951474746078,23.192246315109,23.1344181039847,-1.09809513521132,-3.01386260296128,0.81767233253865,23.9445344609452,-1.19923916105457,-5.296663149765,0.245095754470812,0.669367613597284,0,0,1.72464967566474,-0.655764047826215,4.10506339915569,23.9445344609452,1.51585295319019,-4.53741110273467,0.145925731971377,0.995053692965587,0,0,2.01258018687684,0.505444963942107,3.51971540981156,23.9445344609452,2.79389191960364,-2.74359000971874,0.0115347860766013,0.160247854415791,1,0,-0.810164623999221,-2.90856944638777,1.28824019838933,23.9445344609452,-0.807779130211641,-4.62134753848361,0.429159892069361,0.99447448084996,0,0,2.82274481087606,0.239189241736107,5.40630038001601,23.9445344609452,2.28592743036463,-4.44725669912792,0.0338465562643508,0.558468178361788,1,0
"A0A0B4J1Y9","HV372_HUMAN","IGHV3-72","Immunoglobulin heavy variable 3-72",5,5,FALSE,20.5194159980999,24.7784600293818,19.6556615868873,24.0321326136055,22.280034888077,20.8449248545324,20.9935608525454,24.9247061388833,22.6273330191617,22.3355466271808,21.5529488658592,19.7846429245363,22.1863359748037,20.1250276617297,20.3578295392223,23.2904322021883,20.3445110822938,21.7177816460844,23.6100350625959,25.570199808673,22.1097741498663,20.9713703644332,-1.52872065821058,-3.37710020210515,0.319658885683978,22.0278484495746,-1.7246248094076,-4.63626460200773,0.0999348519390474,0.510777060720929,0,0,1.23082879904263,-1.11281413466306,3.57447173274833,22.0278484495746,1.09512540114127,-4.58808109348311,0.286406348300758,0.995053692965587,0,0,1.95399002552553,0.504572960594385,3.40340709045668,22.0278484495746,2.81116683547343,-2.68836835271002,0.0107507009445364,0.160247854415791,1,0,-0.805559431727687,-2.87252553048432,1.26140666702895,22.0278484495746,-0.812684322115973,-4.6208795834402,0.425917011009446,0.99447448084996,0,0,2.75954945725322,0.2350378843895,5.28406103011694,22.0278484495746,2.27938908593748,-4.4444384116068,0.0336943635528021,0.558468178361788,1,0
"A0A0C4DH25","KVD20_HUMAN","IGKV3D-20","Immunoglobulin kappa variable 3D-20",1,1,FALSE,18.4754583818997,21.826242306794,NA,21.1621660497881,19.3323073444917,17.9773094182275,17.381870566171,22.0088485099612,20.2791749208849,20.0171961535351,19.1993449196738,NA,19.7255209726937,NA,16.0878129313994,20.5288792517193,NA,18.9308453058497,21.1307283995105,23.0109238932736,19.1569875740512,18.5467543728811,-1.55830707396967,-3.60337503427301,0.486760886333661,19.7099095151559,-1.61445483729709,-4.67061203550843,0.125844826053274,0.530047119495773,0,0,-2.30054867983575,-5.90627390140553,1.30517654173403,19.7099095151559,-1.35182166644553,-4.58033993553547,0.195111079945172,0.995053692965587,0,0,1.76869057197502,0.121755392802874,3.41562575114718,19.7099095151559,2.27539058971742,-3.57083862169282,0.0368902197463836,0.31214801323863,1,0,2.5109321778411,-0.794538643213695,5.8164029988959,19.7099095151559,1.60946767139191,-4.56258369951129,0.126934971495684,0.99447448084996,0,0,-0.742241605866077,-4.43528003421197,2.95079682247981,19.7099095151559,-0.425835703355646,-4.61125227213445,0.675863030347847,0.988055167375868,0,0
"A0A0C4DH35","HV335_HUMAN","IGHV3-35","Probable non-functional immunoglobulin heavy variable 3-35",1,1,FALSE,18.7177599158662,21.9243356582598,NA,21.3824413101636,19.1394044872868,NA,17.8809957703109,21.8552136155061,20.0406701426524,19.5498752608812,19.0160246871994,NA,19.5619252910407,18.2598087743175,17.0356161180996,20.360782558629,18.3283278854334,19.6123810862404,20.4873346381038,22.219322200123,NA,18.331640405582,-1.16569477537296,-2.86651106126959,0.535121510523672,19.6502144336498,-1.45213852534291,-4.94391128050782,0.1656636059176,0.600758131349537,0,0,0.14744022189829,-2.31621036485702,2.6110908086536,19.6502144336498,0.126799478102125,-4.63042089759141,0.900668476917374,0.995053692965587,0,0,1.68664566923701,0.352980502323174,3.02031083615084,19.6502144336498,2.67952399466685,-2.99831708629577,0.016377233165725,0.193017390881759,1,0,0.373510671965761,-1.83267528695868,2.5796966308902,19.6502144336498,0.358708362950105,-4.63373581081683,0.724471620747087,0.99447448084996,0,0,1.31313499727125,-1.26483305194787,3.89110304649037,19.6502144336498,1.07922612258536,-4.59121012970194,0.296383023948405,0.988055167375868,0,0
"A5PL33","KRBA1_HUMAN","KRBA1","Protein KRBA1",1,1,FALSE,24.3886310289929,23.4547580675786,24.4825163850318,25.3836979291775,22.8529335154529,24.4412078851705,24.8633533188115,24.4170569385521,23.9615253658481,24.5705781976638,23.7603157943679,23.5051566456945,24.0077464528744,24.2360316219118,25.044953330747,24.2229081108736,24.0127446128358,24.2460645922262,23.7587791335921,24.3510016187353,24.1910688122114,23.4632968480713,0.309097715539934,-0.312539981220315,0.930735412300184,24.1643784639282,1.03685040361937,-5.4826155497599,0.312114525800012,0.740991320244632,0,0,0.43062062958456,-0.357581555485905,1.21882281465503,24.1643784639282,1.13923900413774,-4.58330056570466,0.26799402219226,0.995053692965587,0,0,0.204098206275557,-0.283362439382939,0.691558851934052,24.1643784639282,0.873086507832765,-5.10649009072583,0.392923343229298,0.873496637992181,0,0,0.0825752922309313,-0.612576333503511,0.777726917965374,24.1643784639282,0.247701265251263,-4.66023519634581,0.806877390133681,0.99447448084996,0,0,0.121522914044625,-0.727508100599148,0.970553928688399,24.1643784639282,0.298464215343544,-4.63838129690313,0.768411353604493,0.988055167375868,0,0
"B9A064","IGLL5_HUMAN","IGLL5","Immunoglobulin lambda-like polypeptide 5",1,1,FALSE,20.5435208565393,23.9025836934365,NA,23.9076250698973,22.60383309461,21.5350199799581,NA,25.1634878512777,22.4247015475163,22.0429327016932,22.176888406659,20.2071166009181,21.6748085995935,NA,NA,21.8295968240686,19.0852069347482,20.3894220210014,23.3443665720765,25.0754806582604,22.7681214165698,20.1287750441878,-1.1050726544016,-3.48006817534741,1.26992286654421,22.1557493262784,-0.985845005307961,-5.36256016207626,0.338787092508288,0.771032693294725,0,0,0.180075744356511,-2.60660855806896,2.96676004678198,22.1557493262784,0.136914060494291,-4.63816535674623,0.892795439410736,0.995053692965587,0,0,0.896736125798817,-1.02416991792779,2.81764216952542,22.1557493262784,0.989097595894556,-4.88490906276659,0.337241511158494,0.849539684597732,0,0,-0.38841227295929,-2.86495549467479,2.08813094875621,22.1557493262784,-0.332297929674175,-4.6439962692955,0.743949372498568,0.99447448084996,0,0,1.28514839875811,-1.84904150580262,4.41933830331883,22.1557493262784,0.868777520836157,-4.6041967621877,0.397729239690457,0.988055167375868,0,0
"O00187","MASP2_HUMAN","MASP2","Mannan-binding lectin serine protease 2",6,6,FALSE,24.3489761378473,23.4041672439564,23.8010248837342,24.1182075628165,23.526637014524,24.0403946577641,23.5158222362191,23.138846461963,24.3151632150608,23.9957581276813,24.2556699580815,24.1935908172608,24.1077273028362,24.2411418867061,23.5937021830554,22.7791201413839,23.1320877847727,22.1751956574289,24.1603618827391,24.0358184552572,23.4550767115022,24.1551307712867,-0.389366756383193,-1.02083313672283,0.24209962395644,23.7495282315399,-1.28577886951841,-5.21667952917223,0.213131032905198,0.645881562942696,0,0,-0.706191951652169,-1.50685636337654,0.0944724600721993,23.7495282315399,-1.83920393253501,-4.49116231357412,0.0806997531215738,0.995053692965587,0,0,-0.28278496679879,-0.77795282916655,0.212382895568971,23.7495282315399,-1.19086221687673,-4.84497252759236,0.247576476526515,0.772907625394393,0,0,0.034040228470186,-0.672102406021683,0.740182862962055,23.7495282315399,0.10052120387548,-4.66370376040941,0.920926084797784,0.99447448084996,0,0,-0.316825195268976,-1.17928019825115,0.545629807713194,23.7495282315399,-0.766021419955713,-4.61545508015871,0.452562876464593,0.988055167375868,0,0
"O00391","QSOX1_HUMAN","QSOX1","Sulfhydryl oxidase 1",9,9,FALSE,21.6132585069445,21.1822669093075,21.5792225334492,21.412071512484,21.5046367480795,21.5492586033731,21.6885216902072,20.8444962709469,21.3582780997662,21.6678197404546,21.6173393626464,21.8565021136271,21.6465401454655,21.0859643095256,21.0487128902745,21.3824473010245,21.3895541024376,21.7415462589565,21.2565773734032,21.3491499664489,21.2291525104527,21.3718589893029,-0.0112594917862729,-0.375939321404065,0.353420337831519,21.4261443608444,-0.0643820340802893,-5.99622390887057,0.949301802285619,0.999244680440512,0,0,-0.0251053080610362,-0.487499143013307,0.437288526891235,21.4261443608444,-0.113216876267253,-4.6491110759905,0.91098136118859,0.995053692965587,0,0,-0.00821439513353894,-0.294180104952259,0.277751314685181,21.4261443608444,-0.0598989594728603,-5.42155431695752,0.952827443666558,0.984191200048994,0,0,0.00563142114122428,-0.402174890722677,0.413437733005126,21.4261443608444,0.0287953069263548,-4.66433325915118,0.977311730085162,0.99447448084996,0,0,-0.0138458162747632,-0.511924500006723,0.484232867457197,21.4261443608444,-0.0579666573228065,-4.642439263432,0.954347382199835,0.99863455906366,0,0
"O00533","NCHL1_HUMAN","CHL1","Neural cell adhesion molecule L1-like protein",3,3,FALSE,18.7305184728313,NA,20.4853682925517,20.4056888757197,18.05771191531,18.9855614133001,18.8604760871649,17.7999451855907,18.0162749078289,NA,18.978859707395,18.9689576897639,18.1371208389723,18.1336353825004,NA,18.2848548145331,17.7405246468768,18.2676091572337,18.2136496666737,17.8166814488356,20.1301100322674,19.1052545751478,0.00226241812077177,-1.05308167567869,1.05760651192023,18.6904633216051,0.00452079829880381,-5.95570419024574,0.99644523631823,0.999244680440512,0,0,0.285133073950185,-1.0245697428998,1.59483589080017,18.6904633216051,0.459104107992442,-4.63643642847149,0.651939005009372,0.995053692965587,0,0,0.06568571744209,-0.769247263660326,0.900618698544506,18.6904633216051,0.16590354854815,-5.36809207911049,0.870177717256885,0.979540973275001,0,0,-0.217184938387323,-1.36281644912268,0.928446572348032,18.6904633216051,-0.399780031384127,-4.65182768860202,0.694265797896597,0.99447448084996,0,0,0.282870655829413,-1.13472753876676,1.70046885042559,18.6904633216051,0.420795503235759,-4.63208317193465,0.679143134105552,0.988055167375868,0,0
"O14791","APOL1_HUMAN","APOL1","Apolipoprotein L1",4,4,FALSE,25.3803138456705,24.9702081532388,25.8762079302385,25.33366857762,26.0976010628901,26.102339621663,24.7313587323624,24.8206617495618,25.8044162704425,26.7037927288878,25.6759593913106,26.1986707744727,26.020720229493,25.8862184678466,25.7424412868423,25.8592178099725,26.4475369748757,26.1520334285838,25.6198380067842,25.8769178504774,25.659881502178,25.2506528341051,0.161222943648578,-0.410477229197247,0.732923116494404,25.7368480558872,0.588052595597248,-5.82927123728738,0.56304409828739,0.85337274476399,0,0,-0.192056204617209,-0.916940373950386,0.532827964715967,25.7368480558872,-0.552481035793098,-4.63344467334941,0.586708445412954,0.995053692965587,0,0,-0.0119184455466268,-0.460220305023434,0.436383413930181,25.7368480558872,-0.0554378941308231,-5.42177277226129,0.956336762821423,0.984191200048994,0,0,0.341360702719161,-0.297947863440256,0.980669268878578,25.7368480558872,1.1134241802835,-4.58479916271395,0.278659838123185,0.99447448084996,0,0,-0.353279148265788,-1.13410563345643,0.427547336924855,25.7368480558872,-0.943454840762392,-4.60199296599663,0.356647189769151,0.988055167375868,0,0
"O15033","AREL1_HUMAN","AREL1","Apoptosis-resistant E3 ubiquitin protein ligase 1",1,1,FALSE,21.5855749923336,20.3806614193975,21.4163443152491,21.3902552386324,20.8642763561039,22.2017982558261,21.5370181071876,21.2390061904293,21.7513054914609,21.6769228934591,21.5180566447235,21.4868428299606,21.9224637190334,22.0727233928913,22.9472774464263,22.3730248676191,21.7106701279393,21.8720749720956,20.2931970537181,20.6121711760108,22.7551671803661,21.6573899515909,0.333072458373238,-0.335741941625321,1.0018868583718,21.6029192101116,1.03846235048662,-5.48105472114301,0.311382034905609,0.740991320244632,0,0,0.312233209707063,-0.535786423324891,1.16025284273902,21.6029192101116,0.767769463575681,-4.61861953041752,0.451546730153419,0.995053692965587,0,0,0.0731161746452251,-0.451338344358527,0.597570693648977,21.6029192101116,0.290712213609083,-5.38727779148584,0.77424871213833,0.946303981502404,0,0,0.0939554233113995,-0.653951950865935,0.841862797488734,21.6029192101116,0.261958012487287,-4.65974478063589,0.796018611402086,0.99447448084996,0,0,-0.0208392486661744,-0.934304071662819,0.89262557433047,21.6029192101116,-0.0475716130640445,-4.64249141232717,0.962526986061091,0.99863455906366,0,0
